,eps,conv_iters,threshold,max_value,times_api,times_real,policy_updates,policies
0,0.0,0,0,55.06894874728539,2.06680874450922,4.138012170791626,100000,"(0, 0, 0, 0)"
1,0.05,0,0,55.068779439919254,2.072617718594074,4.178613901138306,100000,"(0, 0, 0, 0)"
2,0.1,0,0,29.90677491649786,2.0287338955807686,4.106860399246216,100000,"(0, 1, 0, 0)"
3,0.15000000000000002,0,0,55.43639221177176,2.067369185581207,4.164712905883789,100000,"(0, 0, 0, 0)"
4,0.2,0,0,29.64289986703168,2.0182146356606485,4.087549209594727,100000,"(0, 1, 0, 0)"
5,0.25,0,0,29.09893631432921,2.0399027048778535,4.1061882972717285,100000,"(0, 1, 0, 0)"
6,0.30000000000000004,0,0,30.067993151314674,2.0268708511662483,4.118959188461304,100000,"(0, 0, 0, 0)"
7,0.35000000000000003,0,0,55.68837263499069,2.080031459829807,4.1948583126068115,100000,"(0, 0, 0, 0)"
8,0.4,0,0,27.934136378241007,2.0485243763375283,4.107853412628174,100000,"(0, 1, 0, 0)"
9,0.45,0,0,30.26177845856151,2.032047775504589,4.090880393981934,100000,"(0, 1, 0, 0)"
10,0.5,0,0,10.709308028202846,2.012458580121994,4.06833815574646,100000,"(0, 1, 1, 0)"
11,0.55,0,0,10.785520884564326,2.01496624294281,4.068307399749756,100000,"(0, 1, 1, 0)"
12,0.6000000000000001,0,0,30.055789658988413,2.0145557761502264,4.074640989303589,100000,"(0, 1, 0, 0)"
13,0.65,0,0,29.34219032810676,2.026437166800499,4.088216543197632,100000,"(0, 1, 0, 0)"
14,0.7000000000000001,0,0,11.696573343956356,2.0126526978302004,4.059128999710083,100000,"(0, 1, 1, 0)"
15,0.75,0,0,10.374899510120853,2.0341423772335054,4.090158700942993,100000,"(0, 1, 1, 0)"
16,0.8,0,0,10.385809367458343,2.018640383503437,4.080431938171387,100000,"(0, 1, 1, 0)"
17,0.8500000000000001,0,0,10.462543892026055,2.0213031634926795,4.07822060585022,100000,"(0, 1, 1, 1)"
18,0.9,0,0,10.47242657544481,2.0063195419454574,4.05614709854126,100000,"(0, 1, 1, 1)"
