,map_size,time,iters,avg_score,policy,converge,v_map
0,4,0.00732421875,5,0.425,[3. 3. 2. 3. 0. 0. 0. 0. 1. 1. 1. 1. 0. 2. 2. 0.],True,"[0.00105351 0.00316052 0.01158857 0.00386286 0.         0.
 0.04249144 0.         0.01764387 0.07057546 0.20086862 0.46688382
 0.         0.13436482 0.46688382 0.        ]"
1,8,0.0726773738861084,10,0.231,"[1. 0. 0. 0. 2. 2. 0. 0. 1. 1. 1. 0. 0. 2. 1. 1. 1. 0. 0. 2. 1. 2. 3. 2.
 1. 3. 1. 2. 3. 0. 0. 2. 0. 0. 2. 0. 0. 2. 1. 1. 1. 0. 0. 2. 0. 0. 2. 1.
 1. 0. 0. 0. 0. 1. 2. 1. 1. 1. 1. 1. 1. 2. 2. 0.]",True,"[2.07112803e-07 2.67889402e-07 0.00000000e+00 0.00000000e+00
 1.61470275e-05 6.45881142e-05 9.95397503e-05 0.00000000e+00
 5.60565257e-07 8.64448021e-07 2.15297799e-06 9.90044351e-06
 0.00000000e+00 1.58812714e-04 3.33570895e-04 7.94367140e-04
 1.37781677e-06 1.60869992e-06 0.00000000e+00 4.73492412e-05
 1.41966012e-04 3.95904569e-04 7.14674626e-04 2.84389767e-03
 3.90257159e-06 5.80123868e-06 2.34949259e-05 8.48797538e-05
 2.66576254e-04 1.10603551e-03 0.00000000e+00 1.05812236e-02
 9.80905265e-06 0.00000000e+00 2.67936402e-05 1.10473277e-04
 0.00000000e+00 4.86769673e-03 2.32324482e-02 3.94809965e-02
 3.53336448e-05 4.07695915e-05 0.00000000e+00 4.40692993e-04
 8.81385985e-05 0.00000000e+00 7.18135475e-02 1.34691538e-01
 1.00564994e-04 1.68514317e-04 0.00000000e+00 2.00485309e-03
 0.00000000e+00 6.69225058e-02 2.01143751e-01 4.66952604e-01
 2.33745666e-04 7.01237006e-04 2.57120237e-03 9.58357247e-03
 3.57630875e-02 1.33468778e-01 4.66952604e-01 0.00000000e+00]"
2,16,0.5050048828125,17,0.003,"[0. 3. 0. 0. 2. 2. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 2. 1. 3. 1.
 0. 3. 1. 0. 0. 0. 0. 1. 1. 1. 1. 3. 2. 0. 0. 2. 0. 0. 0. 2. 0. 0. 1. 3.
 1. 0. 0. 0. 2. 1. 1. 0. 0. 1. 0. 0. 2. 1. 0. 0. 1. 0. 0. 1. 2. 2. 1. 0.
 0. 2. 3. 1. 0. 0. 2. 1. 3. 1. 1. 2. 2. 2. 3. 3. 1. 0. 0. 0. 0. 0. 0. 2.
 0. 2. 2. 2. 3. 0. 0. 0. 2. 3. 1. 0. 0. 2. 1. 3. 0. 0. 2. 0. 0. 0. 0. 1.
 0. 0. 2. 3. 1. 1. 0. 0. 1. 0. 0. 2. 1. 0. 0. 2. 2. 0. 0. 0. 2. 1. 0. 0.
 1. 0. 0. 0. 2. 1. 0. 0. 2. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 2. 2. 1. 1.
 2. 2. 2. 2. 2. 1. 1. 1. 1. 1. 1. 0. 0. 2. 2. 2. 2. 2. 3. 3. 2. 2. 1. 1.
 3. 3. 3. 3. 1. 2. 2. 2. 2. 3. 0. 0. 2. 2. 1. 1. 0. 0. 0. 0. 0. 2. 2. 1.
 0. 0. 0. 0. 0. 2. 3. 2. 3. 1. 1. 0. 0. 0. 2. 2. 1. 0. 0. 0. 0. 0. 0. 2.
 2. 2. 2. 0. 0. 1. 2. 2. 2. 1. 1. 1. 1. 1. 1. 0.]",True,"[9.58407667e-15 2.39240475e-15 5.52923320e-16 0.00000000e+00
 1.07190501e-12 1.47336548e-12 1.63335331e-12 3.19858434e-12
 1.94533370e-12 8.05391553e-13 0.00000000e+00 9.74044701e-13
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 3.03097870e-14 0.00000000e+00 0.00000000e+00 9.75213595e-13
 2.83491877e-12 4.27894715e-12 3.35156480e-12 1.08659626e-11
 4.59818597e-12 1.28591016e-12 1.03600482e-12 3.89781343e-12
 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.20204522e-10
 1.14588052e-13 1.90722735e-13 4.81111714e-13 2.05751801e-12
 8.85123762e-12 1.52432100e-11 0.00000000e+00 4.64095559e-11
 1.01970370e-11 0.00000000e+00 0.00000000e+00 1.74828781e-11
 8.35231581e-11 0.00000000e+00 1.80324830e-09 4.80847717e-10
 2.74521728e-13 3.64904945e-13 1.68157544e-13 0.00000000e+00
 2.62331817e-11 6.31384256e-11 1.32232612e-10 2.11031440e-10
 0.00000000e+00 1.07325923e-09 4.39316736e-10 0.00000000e+00
 4.00150243e-10 1.78710979e-09 8.53549267e-09 0.00000000e+00
 7.43406267e-13 1.37023521e-12 0.00000000e+00 2.13927020e-11
 5.92524682e-11 1.57344212e-10 3.87108967e-10 8.76640222e-10
 0.00000000e+00 4.92709427e-09 1.12339631e-09 2.50702457e-10
 1.30164084e-10 0.00000000e+00 3.90873434e-08 1.86901752e-07
 1.62055210e-12 5.76082033e-12 1.83871417e-11 4.77732024e-11
 1.12809205e-10 3.36611812e-10 9.01751822e-10 3.78524765e-09
 1.71482003e-08 2.24390637e-08 0.00000000e+00 0.00000000e+00
 0.00000000e+00 1.76416201e-06 0.00000000e+00 7.08521011e-07
 0.00000000e+00 8.83849953e-12 3.84672719e-11 1.04779336e-10
 1.68316534e-10 6.24168650e-10 0.00000000e+00 0.00000000e+00
 5.95172800e-08 9.01206106e-08 3.68647507e-07 8.76558947e-07
 0.00000000e+00 8.82081110e-06 9.88021964e-06 2.64718444e-06
 0.00000000e+00 0.00000000e+00 6.92652178e-11 3.07935647e-10
 0.00000000e+00 2.61614468e-09 0.00000000e+00 7.37465785e-08
 1.90318615e-07 0.00000000e+00 8.76558947e-07 4.01414819e-06
 1.83176251e-05 3.24596769e-05 3.79331062e-05 0.00000000e+00
 1.46657443e-11 1.33613697e-11 0.00000000e+00 1.36582121e-09
 6.52149662e-09 1.24569942e-08 0.00000000e+00 1.78415221e-07
 8.18330685e-07 1.57604495e-06 0.00000000e+00 0.00000000e+00
 5.51143040e-05 1.06047658e-04 1.47325639e-04 0.00000000e+00
 4.53585041e-11 5.21813418e-11 1.04315613e-11 0.00000000e+00
 1.87856052e-08 5.31483424e-08 9.44448239e-08 0.00000000e+00
 2.32529262e-06 7.06189646e-06 2.10836638e-05 5.93624466e-05
 1.51206242e-04 3.27798350e-04 5.92647434e-04 8.61256026e-04
 1.29344785e-10 2.02267418e-10 0.00000000e+00 0.00000000e+00
 3.42594996e-08 1.52513314e-07 4.19077498e-07 1.18976293e-06
 3.74623980e-06 1.19005307e-05 3.89939806e-05 1.24522332e-04
 3.68870417e-04 8.95138078e-04 1.77418280e-03 2.85237667e-03
 3.15247043e-10 8.29937905e-10 2.42482728e-09 5.50624847e-09
 0.00000000e+00 2.90343435e-07 7.53114835e-07 1.78350120e-06
 4.50538022e-06 1.34467811e-05 4.93639118e-05 1.94378802e-04
 7.98007771e-04 2.33263718e-03 5.12339926e-03 9.63532390e-03
 4.31222828e-10 1.40982755e-09 5.78819927e-09 2.51066897e-08
 1.14239548e-07 5.46092221e-07 1.56299904e-06 3.22236698e-06
 5.33388444e-06 5.96946741e-06 1.10666753e-05 0.00000000e+00
 1.28853127e-03 5.64464856e-03 1.36490352e-02 3.34178963e-02
 1.20127950e-10 0.00000000e+00 0.00000000e+00 5.25602900e-09
 0.00000000e+00 8.77121427e-07 3.83951700e-06 8.99445283e-06
 1.61945785e-05 0.00000000e+00 0.00000000e+00 3.57975367e-04
 0.00000000e+00 1.22415704e-02 2.91826311e-02 1.20022550e-01
 4.94038143e-11 7.75685545e-11 2.80855982e-10 1.17368712e-09
 2.34729096e-10 0.00000000e+00 8.64013635e-06 2.49381718e-05
 6.66445583e-05 1.37015388e-04 0.00000000e+00 1.78987684e-03
 0.00000000e+00 2.63805723e-02 0.00000000e+00 4.46672304e-01
 2.67485373e-11 5.76535920e-11 1.53112831e-10 3.31675999e-10
 0.00000000e+00 3.60574863e-06 1.44229960e-05 4.90518509e-05
 1.71269235e-04 6.18432383e-04 2.30246030e-03 8.59140882e-03
 3.20631750e-02 1.19661291e-01 4.46581989e-01 0.00000000e+00]"
3,32,3.939215898513794,33,0.0,[0. 0. 0. ... 1. 2. 0.],True,[0.         0.         0.         ... 0.11574074 0.46296296 0.        ]
4,64,14.534294843673706,34,0.0,[0. 0. 0. ... 2. 1. 0.],True,[0.         0.         0.         ... 0.11767525 0.44608548 0.        ]
5,128,79.6187949180603,39,0.0,[0. 0. 0. ... 0. 2. 0.],True,[0.        0.        0.        ... 0.        0.4653413 0.       ]
